path,size,expected,status
/mnt/mrdr/mc02/t1803_mrral_60n190_0327_4.img,514044288,514044288,OK
/mnt/mrdr/mc02/t1803_mrrde_60n190_0327_4.img,135650576,135650576,OK
/mnt/mrdr/mc02/t1803_mrrsu_60n190_0327_4.img,428370240,428370240,OK
/mnt/mrdr/mc02/t1804_mrral_60n197_0327_4.img,514044288,514044288,OK
/mnt/mrdr/mc02/t1804_mrrde_60n197_0327_4.img,135650576,135650576,OK
/mnt/mrdr/mc02/t1804_mrrsu_60n197_0327_4.img,428370240,428370240,OK
/mnt/mrdr/mc02/t1805_mrral_60n203_0327_4.img,514044288,514044288,OK
/mnt/mrdr/mc02/t1805_mrrde_60n203_0327_4.img,135650576,135650576,OK
/mnt/mrdr/mc02/t1805_mrrsu_60n203_0327_4.img,428370240,428370240,OK
/mnt/mrdr/mc02/t1806_mrral_60n210_0327_4.img,514044288,514044288,OK
/mnt/mrdr/mc02/t1806_mrrde_60n210_0327_4.img,135650576,135650576,OK
/mnt/mrdr/mc02/t1806_mrrsu_60n210_0327_4.img,428370240,428370240,OK
/mnt/mrdr/mc02/t1807_mrral_60n217_0327_4.img,514044288,514044288,OK
/mnt/mrdr/mc02/t1807_mrrde_60n217_0327_4.img,135650576,135650576,OK
/mnt/mrdr/mc02/t1807_mrrsu_60n217_0327_4.img,428370240,428370240,OK
/mnt/mrdr/mc02/t1808_mrral_60n223_0327_4.img,514044288,514044288,OK
/mnt/mrdr/mc02/t1808_mrrde_60n223_0327_4.img,135650576,135650576,OK
/mnt/mrdr/mc02/t1808_mrrsu_60n223_0327_4.img,428370240,428370240,OK
/mnt/mrdr/mc02/t1809_mrral_60n230_0327_4.img,514044288,514044288,OK
/mnt/mrdr/mc02/t1809_mrrde_60n230_0327_4.img,135650576,135650576,OK
/mnt/mrdr/mc02/t1809_mrrsu_60n230_0327_4.img,428370240,428370240,OK
/mnt/mrdr/mc02/t1810_mrral_60n237_0327_4.img,514044288,514044288,OK
/mnt/mrdr/mc02/t1810_mrrde_60n237_0327_4.img,135650576,135650576,OK
/mnt/mrdr/mc02/t1810_mrrsu_60n237_0327_4.img,428370240,428370240,OK
/mnt/mrdr/mc02/t1847_mrral_65n185_0327_4.img,651625344,651625344,OK
/mnt/mrdr/mc02/t1847_mrrde_65n185_0327_4.img,171956688,171956688,OK
/mnt/mrdr/mc02/t1847_mrrsu_65n185_0327_4.img,543021120,543021120,OK
/mnt/mrdr/mc02/t1848_mrral_65n195_0327_4.img,651625344,651625344,OK
/mnt/mrdr/mc02/t1848_mrrde_65n195_0327_4.img,171956688,171956688,OK
/mnt/mrdr/mc02/t1848_mrrsu_65n195_0327_4.img,543021120,543021120,OK
/mnt/mrdr/mc02/t1849_mrral_65n205_0327_4.img,651625344,651625344,OK
/mnt/mrdr/mc02/t1849_mrrde_65n205_0327_4.img,171956688,171956688,OK
/mnt/mrdr/mc02/t1849_mrrsu_65n205_0327_4.img,543021120,543021120,OK
/mnt/mrdr/mc02/t1850_mrral_65n215_0327_4.img,651625344,651625344,OK
/mnt/mrdr/mc02/t1850_mrrde_65n215_0327_4.img,171956688,171956688,OK
/mnt/mrdr/mc02/t1850_mrrsu_65n215_0327_4.img,543021120,543021120,OK
/mnt/mrdr/mc02/t1851_mrral_65n225_0327_4.img,651625344,651625344,OK
/mnt/mrdr/mc02/t1851_mrrde_65n225_0327_4.img,171956688,171956688,OK
/mnt/mrdr/mc02/t1851_mrrsu_65n225_0327_4.img,543021120,543021120,OK
/mnt/mrdr/mc02/t1852_mrral_65n235_0327_4.img,651625344,651625344,OK
/mnt/mrdr/mc02/t1852_mrrde_65n235_0327_4.img,171956688,171956688,OK
/mnt/mrdr/mc02/t1852_mrrsu_65n235_0327_4.img,543021120,543021120,OK
/mnt/mrdr/mc03/t1499_mrral_35n243_0327_4.img,631365120,631365120,OK
/mnt/mrdr/mc03/t1499_mrrde_35n243_0327_4.img,166610240,166610240,OK
/mnt/mrdr/mc03/t1499_mrrsu_35n243_0327_4.img,526137600,526137600,OK
/mnt/mrdr/mc03/t1500_mrral_35n248_0327_4.img,631365120,631365120,OK
/mnt/mrdr/mc03/t1500_mrrde_35n248_0327_4.img,166610240,166610240,OK
/mnt/mrdr/mc03/t1500_mrrsu_35n248_0327_4.img,526137600,526137600,OK
/mnt/mrdr/mc03/t1501_mrral_35n253_0327_4.img,631836288,631836288,OK
/mnt/mrdr/mc03/t1501_mrrde_35n253_0327_4.img,166734576,166734576,OK
/mnt/mrdr/mc03/t1501_mrrsu_35n253_0327_4.img,526530240,526530240,OK
/mnt/mrdr/mc03/t1502_mrral_35n258_0327_4.img,631365120,631365120,OK
/mnt/mrdr/mc03/t1502_mrrde_35n258_0327_4.img,166610240,166610240,OK
/mnt/mrdr/mc03/t1502_mrrsu_35n258_0327_4.img,526137600,526137600,OK
/mnt/mrdr/mc03/t1503_mrral_35n263_0327_4.img,631836288,631836288,OK
/mnt/mrdr/mc03/t1503_mrrde_35n263_0327_4.img,166734576,166734576,OK
/mnt/mrdr/mc03/t1503_mrrsu_35n263_0327_4.img,526530240,526530240,OK
/mnt/mrdr/mc03/t1504_mrral_35n268_0327_4.img,631836288,631836288,OK
/mnt/mrdr/mc03/t1504_mrrde_35n268_0327_4.img,166734576,166734576,OK
